권역,지역,세부지역,대학명,계열,2026 수시 모집단위,2025 수시 모집단위,전형변경,모집단위변경,교과1/전형,충원,교과1/70%,교과1/50%,교과2/전형,충원,교과2/70%,교과2/50%,교과3/전형,충원,교과3/70%,교과3/50%,종합1/전형,충원,종합1/70%,종합1/50%,종합2/전형,충원,종합2/70%,종합2/50%,정시백분위,충원,2025 정시 반영영역,영어한국사,학과홈페이지URL,모집인원_교과,모집인원_종합,모집인원_정시,수능반영_국,수능반영_수,수능반영_영,수능반영_탐,수능반영_한,면접비율,논술비율,2024_교과70,2024_종합70,2024_정시,2023_교과70,2023_종합70,2023_정시,경쟁률_교과,경쟁률_종합,경쟁률_정시,비고
경인권,경기,부천시,가톨릭대,공통,자유전공학부,자유전공학부,유지,유지,지역균형,70,2.53,2.5,,,,,,,,,잠재능력우수자서류,,,,잠재능력우수자면접,,,,83.33,53,국수영탐(1),4/4,,33,,100,,,,,,30%(종합 단계별 2단계 면접),"100%(논술전형, 2027 논술100%로 변경)",,,,,,,6.27,,4.71,
경인권,경기,부천시,가톨릭대,인문,인문사회계열,인문사회계열,유지,유지,지역균형,68,2.61,2.53,,,,,,,,,잠재능력우수자서류,21,5.08,3.48,잠재능력우수자면접,,,,82,64,국수영탐(1),4/2,,30,14,110,,,,,,30%(종합 단계별 2단계 면접),"100%(논술전형, 2027 논술100%로 변경)",,,,,,,8.5,26.21,5.59,
경인권,경기,부천시,가톨릭대,인문,국어국문학과,국어국문학과,유지,유지,지역균형,19,2.76,2.54,,,,,,,,,잠재능력우수자서류,6,3.36,3.36,잠재능력우수자면접,1,3.47,3.32,,,국수영탐(1),4/2,,5,4,,,,,,,30%(종합 단계별 2단계 면접),"100%(논술전형, 2027 논술100%로 변경)",,,,,,,6.4,12.5,,
경인권,경기,부천시,가톨릭대,인문,철학과,철학과,유지,유지,지역균형,3,2.38,2.38,,,,,,,,,잠재능력우수자서류,2,2.83,2.83,잠재능력우수자면접,6,4.82,3.53,,,국수영탐(1),4/2,,5,4,,,,,,,30%(종합 단계별 2단계 면접),"100%(논술전형, 2027 논술100%로 변경)",,,,,,,6.4,13.75,,
경인권,경기,부천시,가톨릭대,인문,국사학과,국사학과,유지,유지,지역균형,17,2.76,2.75,,,,,,,,,잠재능력우수자서류,6,3.25,3.25,잠재능력우수자면접,2,3.52,3.46,,,국수영탐(1),4/2,,5,4,,,,,,,30%(종합 단계별 2단계 면접),"100%(논술전형, 2027 논술100%로 변경)",,,,,,,12.6,21.5,,
경인권,경기,부천시,가톨릭대,인문,영어영문학부,영어영문학부,유지,유지,지역균형,16,2.74,2.74,,,,,,,,,잠재능력우수자서류,28,4.91,4.17,잠재능력우수자면접,7,4.2,3.68,,,국수영탐(1),4/2,,5,11,,,,,,,30%(종합 단계별 2단계 면접),"100%(논술전형, 2027 논술100%로 변경)",,,,,,,5.2,18.91,,
경인권,경기,부천시,가톨릭대,인문,중국언어문화학과,중국언어문화학과,유지,유지,지역균형,5,2.82,2.82,,,,,,,,,잠재능력우수자서류,7,4.93,4.93,잠재능력우수자면접,4,5.44,4.82,,,국수영탐(1),4/2,,5,5,,,,,,,30%(종합 단계별 2단계 면접),"100%(논술전형, 2027 논술100%로 변경)",,,,,,,8.6,23.4,,
경인권,경기,부천시,가톨릭대,인문,일어일본문화학과,일어일본문화학과,유지,유지,지역균형,3,2.41,2.34,,,,,,,,,잠재능력우수자서류,10,5.58,5.47,잠재능력우수자면접,0,5.88,5.76,,,국수영탐(1),4/2,,5,5,,,,,,,30%(종합 단계별 2단계 면접),"100%(논술전형, 2027 논술100%로 변경)",,,,,,,11.4,45.8,,
경인권,경기,부천시,가톨릭대,인문,프랑스어문화학과,프랑스어문화학과,유지,유지,지역균형,9,2.76,2.68,,,,,,,,,잠재능력우수자서류,8,4.24,3.62,잠재능력우수자면접,,,,,,국수영탐(1),4/2,,5,9,,,,,,,30%(종합 단계별 2단계 면접),"100%(논술전형, 2027 논술100%로 변경)",,,,,,,11.6,13.67,,
경인권,경기,부천시,가톨릭대,인문,사회복지학과,사회복지학과,유지,유지,지역균형,9,2.64,2.47,,,,,,,,,잠재능력우수자서류,5,3.22,3.22,잠재능력우수자면접,6,3.17,3.04,,,국수영탐(1),4/2,,5,5,,,,,,,30%(종합 단계별 2단계 면접),"100%(논술전형, 2027 논술100%로 변경)",,,,,,,6,10.6,,
경인권,경기,부천시,가톨릭대,인문,심리학과,심리학과,유지,유지,지역균형,18,2.22,2.06,,,,,,,,,잠재능력우수자서류,7,2.38,2.37,잠재능력우수자면접,4,2.76,2.75,,,국수영탐(1),4/2,,5,8,,,,,,,30%(종합 단계별 2단계 면접),"100%(논술전형, 2027 논술100%로 변경)",,,,,,,8.4,17.5,,
경인권,경기,부천시,가톨릭대,인문,사회학과,사회학과,유지,유지,지역균형,3,2.46,2.36,,,,,,,,,잠재능력우수자서류,4,2.8,2.8,잠재능력우수자면접,1,3.03,2.67,,,국수영탐(1),4/2,,5,5,,,,,,,30%(종합 단계별 2단계 면접),"100%(논술전형, 2027 논술100%로 변경)",,,,,,,6.2,12.8,,
경인권,경기,부천시,가톨릭대,인문,경영학과,경영학과,유지,유지,지역균형,9,2.39,2.34,,,,,,,,,잠재능력우수자서류,5,3.25,3.17,잠재능력우수자면접,1,3.77,3.3,,,국수영탐(1),4/2,,5,9,,,,,,,30%(종합 단계별 2단계 면접),"100%(논술전형, 2027 논술100%로 변경)",,,,,,,6.6,18.22,,
경인권,경기,부천시,가톨릭대,인문,회계학과,회계학과,유지,유지,지역균형,11,2.62,2.56,,,,,,,,,잠재능력우수자서류,7,3.24,3.14,잠재능력우수자면접,2,3.29,3.27,,,국수영탐(1),4/2,,5,9,,,,,,,30%(종합 단계별 2단계 면접),"100%(논술전형, 2027 논술100%로 변경)",,,,,,,5.4,8.67,,
